Src,aux,Dest,Weight
Agente23922,1,Agente30621,1
Agente22337,1,Agente10134,1
Agente25288,1,Agente27625,1
Agente24042,1,Agente16895,1
Agente12225,1,Agente26434,1
Agente2392,1,Agente9178,1
Agente4685,1,Agente25910,1
Agente24042,1,Agente25835,1
Agente19536,1,Agente28861,1
Agente1801,1,Agente14093,1
Agente2820,1,Agente4685,3
Agente24492,1,Agente13823,1
Agente19536,1,Agente11088,1
Agente20250,1,Agente28476,2
Agente18713,1,Agente30292,1
Agente22205,1,Agente30495,1
Agente22217,1,Agente11535,1
Agente20250,1,Agente6510,2
Agente7433,1,Agente25997,1
Agente16033,1,Agente18731,1
Agente4401,1,Agente837,1
Agente22652,1,Agente20901,1
Agente23689,1,Agente24502,1
Agente13200,1,Agente20510,1
Agente24860,1,Agente29469,1
Agente7832,1,Agente26689,2
Agente14506,1,Agente28006,1
Agente23623,1,Agente16783,1
Agente5176,1,Agente2466,1
Agente10268,1,Agente17278,2
Agente22576,1,Agente24861,1
Agente25840,1,Agente21105,1
Agente4360,1,Agente14304,1
Agente2,1,Agente21005,1
Agente26126,1,Agente20239,1
Agente22626,1,Agente23531,1
Agente15401,1,Agente23771,1
Agente4938,1,Agente14639,1
Agente18408,1,Agente6060,1
Agente26267,1,Agente12997,1
Agente18408,1,Agente22346,1
Agente11001,1,Agente12846,1
Agente21890,1,Agente22909,2
Agente16569,1,Agente22129,1
Agente22337,1,Agente26452,1
Agente22849,1,Agente23878,1
Agente21905,1,Agente19119,1
Agente25460,1,Agente27734,1
Agente4842,1,Agente10678,1
Agente10838,1,Agente24095,1
Agente2412,1,Agente20501,1
Agente19144,1,Agente23130,1
Agente15805,1,Agente20071,2
Agente25393,1,Agente11026,1
Agente10923,1,Agente11950,1
Agente6977,1,Agente20175,1
Agente15345,1,Agente11625,1
Agente21738,1,Agente5138,1
Agente6008,1,Agente25252,1
Agente2833,1,Agente8506,1
Agente20761,1,Agente17058,1
Agente18574,1,Agente26127,1
Agente20881,1,Agente25330,1
Agente2050,1,Agente24390,1
Agente15275,1,Agente5583,1
Agente11624,1,Agente6510,1
Agente11026,1,Agente5763,1
Agente8556,1,Agente18332,1
Agente4109,1,Agente21662,1
Agente22848,1,Agente27852,1
Agente14292,1,Agente23623,1
Agente21553,1,Agente14023,1
Agente16240,1,Agente4428,1
Agente26959,1,Agente20071,1
Agente17074,1,Agente12220,1
Agente11026,1,Agente21299,1
Agente23029,1,Agente8205,1
Agente22396,1,Agente30292,1
Agente24220,1,Agente18735,1
Agente25333,1,Agente18639,1
Agente12724,1,Agente21861,1
Agente23906,1,Agente21623,1
Agente22848,1,Agente5536,2
Agente11776,1,Agente6006,1
Agente17450,1,Agente23634,1
Agente18219,1,Agente4885,1
Agente21235,1,Agente21662,1
Agente19552,1,Agente23153,1
Agente15180,1,Agente25637,1
Agente20268,1,Agente18775,1
Agente26155,1,Agente23623,1
Agente22589,1,Agente19599,1
Agente28228,1,Agente29502,1
Agente20616,1,Agente6527,1
Agente22954,1,Agente23195,1
Agente8464,1,Agente28788,2
Agente11950,1,Agente21543,1
